region,nb_cantons,population_totale,fri_moyen,fri_max,fsi_moyen,urbain_moyen,nb_ouvrages_tde,nb_ouvrages_documentes,fri_moyen_ouvrages,part_exposee_%
Centrale,60,792805.640064,0.08885208343314514,0.37593565508887217,88.79320259094239,0.0050199536885242296,1,11,0.11840531420258094,18.2
Kara,75,985955.8026780001,0.09703010919851812,0.44149102154400377,106.66118640899658,0.004127046621025336,0,9,0.08406429569705418,11.1
Maritime,75,3589891.415802,0.17233070831966965,0.6450010496350246,123.01066111246745,0.15707367741049427,65,65,0.30627071598248784,76.9
Plateaux,111,1669611.961105,0.09052799421653872,0.40891379968337294,94.52618214031598,0.006310812968635584,1,1,0.16539548574364726,100.0
Savanes,67,1131880.71922,0.09829211963759525,0.3887760040966075,115.37584532552691,0.004511216119966787,0,61,0.11829457809827143,45.9
