region,canton,total_pop,FRI,max_fsi,urban_ratio,building_count,min_rwi
Maritime,Agoè-Nyivé,358223.442808,0.4930971372315273,89.9670639038086,0.8906254469116601,118.0,0.903
Maritime,Légbassito,154480.559802,0.34328626002598667,88.6531982421875,0.6756613442865086,10.0,0.133
Maritime,Vakpossito,63267.95692700001,0.24856343264341363,83.5533676147461,0.9999999999999999,9.0,1.079
Maritime,Togblekope,179199.320921,0.41444260352557744,90.84390258789062,0.5239749455515291,40.0,-0.089
Maritime,Zanguera,218933.127634,0.3074591464425915,123.52090454101562,0.7079749559564665,3.0,0.636
Maritime,Adétikopé,52840.089426,0.22269216254564025,88.56378936767578,0.2505754300168768,2.0,-0.302
Maritime,Kévé,11043.089868000001,0.21196638258530542,148.4794921875,0.015674724130468318,61.0,-0.869
Maritime,Assahoun,9604.491806,0.1496374561497827,82.91524505615234,0.047627816240090666,3.0,-0.874
Maritime,Tovégan,10887.803902000001,0.07841933775491648,148.56466674804688,0.0,0.0,-0.786
Maritime,Ando,9495.744831,0.07114157959649467,86.33932495117188,0.0,0.0,-0.948
Maritime,Zolo,5851.743352,0.06601605109244098,84.21187591552734,0.0,0.0,-0.755
Maritime,Noépé,10367.572826000001,0.0674225542291998,85.28182983398438,0.0,0.0,-0.218
Maritime,Aképé,17313.858359,0.11179572053331653,87.44229125976562,0.015655949331953013,0.0,-0.517
Maritime,Badja,10048.043772,0.08493125608323682,148.886962890625,0.0,1.0,-0.728
Maritime,Kpétsou,13667.775344000001,0.08726239604091546,150.19085693359375,0.0,1.0,-0.548
Maritime,Afagnan-Gbléta,31249.042978,0.12358494460010137,87.85240173339844,0.0179105641381166,0.0,-0.484
Maritime,Afagnangan,17676.188806000002,0.2814943944922352,151.15994262695312,0.08089813641213767,66.0,-0.696
Maritime,Attitogon,28876.104163000004,0.0812563022560387,90.95337677001953,0.0,0.0,-0.501
Maritime,Hompou,7918.705695000001,0.06780014129014465,92.13871765136719,0.0,0.0,-0.456
Maritime,Agome-Glozou,11154.366591,0.09777326439782358,157.2406463623047,0.0,6.0,-0.15
Maritime,Agbétiko,3153.961779,0.06248303635062528,152.39743041992188,0.0,0.0,-0.688
Maritime,Bè-Est,294407.968876,0.6450010496350246,157.71360778808594,0.5971096252854601,227.0,-0.202
Maritime,Bè-Centre,120144.196629,0.3007857132445131,91.39006042480469,0.9538603648428359,23.0,1.138
Maritime,Bè-Ouest,129338.199144,0.4931244100886525,156.6208953857422,0.8476258263362735,207.0,0.924
Maritime,Amoutivé,112333.122491,0.21474069954852434,156.25021362304688,0.9753889102240603,99.0,1.338
Maritime,Aflao-Gakli,195975.557062,0.3558615399746841,89.45537567138672,1.0000000000000007,45.0,1.141
Maritime,Baguida,226051.461143,0.6338997276903717,155.57249450683594,0.7159778324969006,213.0,-0.253
Maritime,Aflao-Sagbado,429551.976791,0.5363070271574523,88.56378936767578,0.8943122265236523,53.0,-0.155
Maritime,Aného,8319.615616000001,0.11174799324551958,157.71360778808594,0.0,36.0,0.147
Maritime,Glidji,21192.19384,0.08928454099326892,157.71360778808594,0.0,1.0,-0.21
Maritime,Canton D’Aneho,7370.631735,0.05736777405111123,157.71360778808594,0.0,12.0,1.253
Maritime,Aklakou,16023.308526,0.12809816331714366,157.2406463623047,0.0,21.0,-0.662
Maritime,Agouégan,10249.348956,0.07577497007899954,152.5870361328125,0.0,0.0,-0.526
Maritime,Agbodrafo,89404.008475,0.49207349082298196,157.71360778808594,0.334141700735183,186.0,-0.31
Maritime,Anfoin,11592.037759,0.07335765389184802,152.21829223632812,0.0,0.0,0.147
Maritime,Fiata,21109.450521,0.08385405217716504,156.6208953857422,0.0,0.0,-0.343
Maritime,Ganavé,13326.048686,0.07883543587835735,156.94908142089844,0.0,0.0,-0.404
Maritime,Vogan,58675.742912,0.24144304608030634,157.71360778808594,0.03898595998550513,13.0,-0.439
Maritime,Vo-Koutimé,17235.135028,0.07552516583013105,92.39837646484375,0.0,0.0,-0.456
Maritime,Togoville,22257.389248,0.12052462137294964,157.71360778808594,0.0,14.0,-0.322
Maritime,Anyron-Kopé,8283.121792,0.08423629410296238,157.71360778808594,0.0,2.0,-0.594
Maritime,Dagbati,26317.452928000002,0.08746017833982817,148.51626586914062,0.0,0.0,-0.725
Maritime,Dzrékpo,16098.905780000001,0.09080952168892195,87.95797729492188,0.0,4.0,-0.275
Maritime,Mome-Hounkpati,6907.74592,0.06519763351546173,91.07096099853516,0.0,0.0,-0.296
Maritime,Sévagan,9634.455732,0.11167812802169642,157.71360778808594,0.0,18.0,-0.188
Maritime,Hahotoé,13187.825217000001,0.18574693119704924,150.69110107421875,0.09482260023996514,4.0,-0.475
Maritime,Akoumapé,16659.454464000002,0.103887579319285,154.20314025878906,0.0,5.0,-0.471
Maritime,Tabligbo,39263.419327999996,0.254562141100179,92.42646789550781,0.11319183169825972,21.0,-0.371
Maritime,Amoussimé,13435.210496,0.0724730344021067,91.0903091430664,0.0,0.0,-0.536
Maritime,Kouvé,17162.37982,0.21045706552803212,90.25726318359375,0.0,1023.0,-0.904
Maritime,Kini-Kondji,6192.610048,0.07154822868472492,157.2406463623047,0.0,0.0,-0.554
Maritime,Tchékpo,16090.519551999998,0.07621360960744904,84.66444396972656,0.0,0.0,-1.01
Maritime,Ahépé,12716.550399999998,0.0758939696989098,82.88844299316406,0.0,1.0,-0.453
Maritime,Zafi,12272.711888999998,0.07292832297317084,88.32516479492188,0.0,0.0,-0.708
Maritime,Gboto,13883.2064,0.07219509263261147,86.43934631347656,0.0,0.0,-0.691
Maritime,Tométy-Kondji,5378.8307939999995,0.0697389567716938,151.92446899414062,0.0,0.0,-0.551
Maritime,Sendome,7528.845348999999,0.0743426936326593,152.39743041992188,0.0,0.0,-0.622
