lon,lat,region,prefecture,commune,canton,forage_chateau_nom,organisme,type_ouvrage,FRI_canton,expose_risque_eleve
1.2007916666666671,6.206308333333332,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2015066666666663,6.2082500000000005,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2024299999999999,6.208016666666667,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.20366648982033,6.207501047411497,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2014266666666673,6.208295000000001,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2054033333333332,6.207739999999999,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2016449999999994,6.2070033333333345,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2020400000000009,6.207326666666667,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2012250000000002,6.206719999999999,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.1842100000000002,6.216210000000002,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.1897866666666668,6.210908333333333,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.2186116666666666,6.240578333333334,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.182713333333333,6.21202,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.1826800000000004,6.211938333333333,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
1.1765300000000003,6.221500000000001,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Forage,TDE,Forage,0.4930971372315273,True
