region,prefecture,commune,canton,total_pop,FRI,max_fsi,min_rwi,urban_ratio,building_count,min_dist_basin,nb_ouvrages_documentes,ouvrages_pour_10000_hab,pression_actuelle,priority_score,segment,risque_eleve,canton_id
Maritime,Golfe,Golfe 4,Amoutivé,112333.122491,0.21474069954852434,156.25021362304688,1.338,0.9753889102240603,99.0,0.0,0.0,0.0,112333.122491,42.2,Nouveaux ouvrages prioritaires,True,24
Maritime,Golfe,Golfe 5,Aflao-Gakli,195975.557062,0.3558615399746841,89.45537567138672,1.141,1.0000000000000007,45.0,0.0,0.0,0.0,195975.557062,59.3,Nouveaux ouvrages prioritaires,True,25
Maritime,Golfe,Golfe 6,Baguida,226051.461143,0.6338997276903717,155.57249450683594,-0.253,0.7159778324969006,213.0,0.0,0.0,0.0,226051.461143,81.9,Nouveaux ouvrages prioritaires,True,26
Maritime,Golfe,Golfe 7,Aflao-Sagbado,429551.976791,0.5363070271574523,88.56378936767578,-0.155,0.8943122265236523,53.0,25.64185102004638,2.0,0.04656013958872099,143183.99226366667,73.6,Maintenance et renforcement urgents,True,27
Maritime,Lacs,Lacs 1,Aného,8319.615616000001,0.11174799324551958,157.71360778808594,0.147,0.0,36.0,8775.33456573701,0.0,0.0,8319.615616000001,31.9,Surveillance,True,28
Maritime,Lacs,Lacs 1,Glidji,21192.19384,0.08928454099326892,157.71360778808594,-0.21,0.0,1.0,4006.9093426352197,0.0,0.0,21192.19384,34.7,Nouveaux ouvrages prioritaires,False,29
Maritime,Lacs,Lacs 1,Canton D’Aneho,7370.631735,0.05736777405111123,157.71360778808594,1.253,0.0,12.0,6760.795858320852,0.0,0.0,7370.631735,23.4,Surveillance,False,30
Maritime,Lacs,Lacs 2,Aklakou,16023.308526,0.12809816331714366,157.2406463623047,-0.662,0.0,21.0,0.0,1.0,0.6240908351588961,8011.654263,33.6,Renforcement (vulnerabilite aux inondations),True,31
Maritime,Lacs,Lacs 2,Agouégan,10249.348956,0.07577497007899954,152.5870361328125,-0.526,0.0,0.0,0.0,0.0,0.0,10249.348956,34.6,Nouveaux ouvrages prioritaires,False,32
Maritime,Lacs,Lacs 3,Agbodrafo,89404.008475,0.49207349082298196,157.71360778808594,-0.31,0.334141700735183,186.0,2965.1126959364015,1.0,0.11185180810764538,44702.0042375,54.4,Maintenance et renforcement urgents,True,33
Maritime,Lacs,Lacs 4,Anfoin,11592.037759,0.07335765389184802,152.21829223632812,0.147,0.0,0.0,1.5078963812256037,0.0,0.0,11592.037759,30.8,Nouveaux ouvrages prioritaires,False,34
